Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
Disabled People's Organization of Bhutan,https://dpobhutan.org/service-delivery/,2010,Non-profit Organizations,South-East Asia,Bhutan,Bhutan,ratified,Thimphu,Under the Royal Patronage,Royal sponsorship,Process, Cognitive,"At present, there are few supported projects, and the publicity influence is not big enough. Only a few disabled people participate in the activities.",Assist service delivery interventions carried out by other disability-related organizations. Give direct services to needy persons with disabilities,"Working with a variety of partners, including the government, development partners, the commercial sector, CSOs, and families","1. Function as a platform to represent all persons with disabilities in policy formulation, legislations and programmes that impact the lives of persons with disabilities.
2. Raise awareness and advocate for the rights of persons with disabilities in Bhutan.
3. Create opportunities for PWDs to realize the potentials and abilities to lead a meaningful life.
4. Enhance the capacity of persons with disabilities through life-long learning.
5. Improve the quality of life and living conditions of persons with disabilities.
6. Empower persons with disabilities through employment, effective participation and decision-making.
7. Facilitate communication, coordination and collaboration with relevant organizations within and outside the country",Scalable as more publicity and education methods to enhance the organization's influence.,Success,https://dpobhutan.org/awareness-advocacy/,,,,,,,,,,,,,,,
I-Stem,https://www.istemai.com/,2018,for-profit,South-East Asia,India,India,ratified,Bangalore,Startup,Self-funded,Product,visual,"People with disabilities do not have enough information, and there are few ways to spread apps.","help people with disabilities access these resources and content on an equal basis, and help organizations become more inclusive","State-of-the-art OCR and document accessibility services for blind, low vision and print disabled","The I-Stem application uses the latest technological advances to help enhance access for the blind, visually impaired, or other print readers.",Scalable as more function to help visual impaired people get more information,Success,https://play.google.com/store/apps/details?id=com.istemai.uapp,,,,,,,,,,,,,,,
Difalink,https://difalink.com/,2018,for-profit,South-East Asia,Indonesia,Indonesia,ratified,Bali,Startup,Self-funded,Process,cognitive,"There are limited employment opportunities for disabled person as companies do not have the required awareness, skills and understanding on hiring disabled person due to their own stigmas.",Promotes an inclusive workforce by partnering and working with companies to provide opportunities for disabled people.,Collaborates closely with companies in the end-to-end process of hiring disabled people to ensure the company will have an inclusive workforce,Prepares and supports disabled people for work opportunities by improving their skills through trainings and job fairs.,Open to show the list of companies hiring disabled person which allows anyone to use the produt and scalable to other countries in the future,success,https://e27.co/these-8-startups-in-southeast-asia-empower-people-with-disabilities-to-be-active-members-of-the-community-one-innovation-at-a-time-20191208/,,,,,,,,,,,,,,,
Lifespark,https://www.lifesparktech.com/,2018,for-profit,South-East Asia,India,India,ratified,Mumbai,startup,"SINE, Prosus - SICA",Product,Mobility,"Lifespark believes that living with chronic neurodegenerative disorders is very hard. Not only do they have debilitating symptoms, they will often have a domino effect on emotional and mental health, due to the social isolation caused by them. The family and friends are also affected as well, not just the individual. Anxiety and depression are common amongst those with neurodegenerative disorders, and are equally important as movement related symptoms.","The product/therapy (WALK) comprises a wearable device and a linked digital platform. The device provides sensory cue-based therapy to improve gait, reduce falls and improve quality of life, while the app provides data to physicians and therapists as well as emergency alerts to caregivers","A jury comprising technical experts, clinicians, disability NGOs, policy experts and investors was engaged in the monitoring of the process of prototype building and user testing.","WALK helps improve gait & balance and reduces the chance of freezing of gait and falling, while create insights for improved therapy and superscale research for therapists and caregivers.",Scalable as the product starts out for Parkinson and has potentials to be applied to other neurodegenerative disorders.,Success Disengagement,https://www.thehindubusinessline.com/info-tech/prosus-sica-announces-top-three-most-innovative-assistive-tech-startups-in-india-this-year/article37807031.ece,,,,,,,,,,,,,,,
TOMAK 2,https://www.devex.com/jobs/research-and-analysis-on-disability-prevalence-and-inclusion-in-timor-leste-994286,2016,project,South-East Asia,Australia,Timor Leste,ratified,Baucau,Australian Government,Australian Government,Process,All,"Disability Inclusion will be a cross-cutting focus through all activities. TOMAK 2 will elevate disability inclusion as a program priority and implement inclusion approaches that support people with disabilities to take advantage of existing agricultural opportunities whilst in parallel seeking to create better opportunities and more inclusive agricultural systems and markets by addressing the institutional, attitudinal, communication and environmental barriers that people with disabilities face.","Focus on disability inclusion, particularly with disabled women, who suffer from the 'double discrimination' of being both disabled anhd a women. Places a particular focus on rural environments when most of Timor-Leste's disabled population lives and makes a living.","Aims to work with local, rural communities to provide recommendations for best-practice strategies and approaches for inclusion that can be integrated into program activities to ensure equal participation and program outcomes for people with disabilities.",Aism to work on the social environment and work with communities to help change attitudes and promote inclusion of those with disabilities,Scalable. If successful can be implemented to more  communities in Timor Leste.,Survival,https://www.devex.com/jobs/research-and-analysis-on-disability-prevalence-and-inclusion-in-timor-leste-994286,,,,,,,,,,,,,,,
Confidence Socket,https://www.amparo-prosthetics.com/confidence-socket-de,2014,for-profit,European,Germany,United Kingdom,ratified,Aylesbury,Startup,Ampro,product and additional service,mobility,Prosthetics can be fitted in just one appointment using Direct Moldable Technology,Adjustments are made directly on the leg; can be fully reshaped multiple times,Two suspension types; fully remoldable; Pre-assemble cone and anchor plate,Adaptation throughout the recovery phase,portable tool-kit,Survival,https://www.engineeringforchange.org/solutions/product/confidence-socket/,,,,,,,,,,,,,,,
Mouse4all Switch,https://mouse4all.com/en/,2018,for-profit,European,Spain,Spain,ratified,Madrid ,Startup,No,product,mobility,"Mouse4all allows everyone to use an Android tablet or smartphone entirely, without touching the screen. for any Android tablet or smartphone?",No need to touch the screen,"Cooperate with Jos� �ngel Jim�nez, Javier Montaner, Cristina P�rezSuitable","allows everyone to use an Android tablet or smartphone entirely, without touching the screen.",Customisable interface to suit the specific needs of different users,Existence,https://www.data.ai/en/apps/google-play/app/com.mouse4all.switchaccess.nobox/,,,,,,,,,,,,,,,
Mimi Hearing Test App,https://mimi.io/,2014,for-profit,European,Germany,Global,ratified,Berlin,Startup,MIG Capital AG,process,hearing,Mimi hearing test intervenes in hearing health in advance in a economic way.,"In addition  to a  standard audiological Pure Tone Threshold (PTT) test, Mimi has developed a groundbreaking Masked Threshold (MT) suprathreshold test.","There is no clear information on cocreation part, but Mimi developed through continuous hearing research and was informed by over 1.5 million digital hearing tests.","Mimi hearing test can improve the accessibility of an AT(hearing tests), complete the high-precision hearing test without leaving home, adapt the audio signal to a user�s hearing assessment, and intervene with hearing disorders in advance.",Free download,Growth,,,,,,,,,,,,,,,,
Pedius Call App,https://www.pedius.org/en/home/,2013,for-profit,European,Italy,"Italy, France, Hongkong, UK, Sapin, Australia",ratified,Rome,Startup,"Invitalia Ventures, Principia Sgr, TIM Ventures",process,hearing,Pedius enables the deaf can make calls without a third-party intermediary.,"Pedius transforms what user write into a synthetic voice, and the response can be transcribed into real-time text.","There is no clear information on cocreation part, but Pedius had some 21,000 users by mid-2018.","Allow the deaf and hard of hearing to make phone calls by advanced speech recognition speech
Improve the communication between hearing impaired people and others",No,Growth,,,,,,,,,,,,,,,,
Re. flex,https://reflex.help/,2016,for-profit,European,Romania,Romania,ratified,Bucharest,Startup,Anyon Holding,product and additional service,mobility,"Re.flex helps users treat the knee, hip and lower back pain effectively and lasting.","Re.flex's products feature a fully adjustable rehabilitation protocol, the real-time 3D virtual assistance, the remote therapist, and the most accurate feedback on exercises with cutting edge sensor technology, such as 3D motion sensors, so people between the ages of 50 and 75 years can easily use.","Re.flex Knee&Hip OA product was studied in a randomized control trial (RCT). 309 persons were assessed for eligibility, and re.flex recorded a 90% overall adherence,  which is more efficient in reducing pain than most common painkillers.","Make physiotherapy measurable and offer telerehabilitation as a service
Guide patients during the last stages of physiotherapy rehabilitation, and to help them to do exercises at home effectively through application and the motion-tracking wearable",No,Survival,https://20cxh614hon119kmcx49v25h-wpengine.netdna-ssl.com/wp-content/uploads/2018/10/2018_ZP-Analysis-EASPD.pdf,,,,,,,,,,,,,,,
Wayfindr Audio Navigation Support,https://www.wayfindr.net/,2015,Charity,European,United Kingdom,"United Kingdom, America",ratified,London,Startup,Big Lottery Fund,process,visual,Wayfinder empowers vision-impaired people to travel independently.,The world's first internationally-approved standard for accessible audio navigation and related training are set to support visually impaired people.,53 vision impaired people were invited to participate in the trial. ,"Help visually impaired people navigate complex indoor spaces
Guide visually impaired people travel independently
Improve the accessibility of indoor public spaces",Free editing for organizations,Success,,,,,,,,,,,,,,,,
SociAbility,https://www.sociability.app/,2018,for-profit,European,United Kingdom,United Kingdom,ratified,Oxford,Startup,"Innovate UK, Scoll ",process,mobility,SociAbility empowers disabled people to be able to make their own choices about where to go and socialise. ,"The online community helps people with disabilities to have detailed, reliable, and accurate information on accessibility and to find accessible places.",Cooperate with users to map the city,"Provide detail information from users on the accessibility of shops and social venues, such as restaurants, bars, pubs and clubs
Expand the user's activity map
Enhance interaction between communities",Free download,Existence,,,,,,,,,,,,,,,,
Be my eyes,https://www.bemyeyes.com,2012,Project,European,Denmark,global,ratified,Aarhus,Company,European Union�s Horizon 2020,paradigm,Visual ,Supporting the blind community through corporate partnerships,users interact through app,"cooperated with NHS, Google and so on",Help blind and low-vision people deal woth their daily tasks,No,Survival,,,,,,,,,,,,,,,,
Scewo,https://www.scewo.com/en/,2014,Project,European,Switzerland,Switzerland,ratified,Zurich,Company,"Z�rcher Kantonal Bank, Verve Ventures, etc",process,Mobility,BRO is the only power wheelchair in the world that combines driving on two wheels with climbing stairs. ,combines driving on two wheels with climbing stairs and use software to make users' life more intelligent,"cocreat with cosanum, Innovation centre for assistive technologies, ETH foundation, etc",This wheelchair allows people to climb obstacles like stairs,No,Growth,,,,,,,,,,,,,,,,
Munevo DRIVE,https://munevo.com/home_en,2019,project,European,Germany,Germany,ratified,Munich,Company,be10x Capital and Roca X,product ,Mobility,Many people worldwide depend on a wheelchair.  A large part of them are unable to move their wheelchair with their own hands.,"based on Smartglasses, head control for electric wheelchairs",cooperate with Sunrise Medical,"help people with disabilities to achieve independent mobility and more self-determination, In case of an emergency share current location ",No,Existence,,,,,,,,,,,,,,,,
Brili,https://www.crunchbase.com/organization/brili,2014,for-profit,European,Germany,Germany,ratified,Munich,Startup,Brilli,Product,Cognitive,"People with ADHD are under a great deal of stress. Whether it's getting ready for school, work, or sleep, any part of the day can lead to an emotional breakdown, and they need a high level and consistency of guidance that parents often struggle to provide.","Users are encouraged to race against a countdown timer, receive audible and visual cues, and earn points and extra free time if they can complete the task.",Cocreate with the medical services system Hypt Health and the private community Journey2ADHD.,"Supports emotional well-being, improves executive function and boosts confidence, while promoting independence.",Free Download,Survival,,,,,,,,,,,,,,,,
Kleiber Solo,http://kleiberbionics.org/,2016,for-profit,European,Russia,Russia,ratified,Moscow,Startup,Skolkovo Foundation,Product,Mobility,Conventional prostheses have limited flexibility due to angle and distance limitations when gripping objects of different shapes.,"Prosthetic simulates a human hand, offering 14 gripping options and the unique ability to grip objects automatically. The wrist can be rotated approximately 90 degrees and deviated at a small angle to the sides.",cooperate with users,"Reproduce the function of the fingers, the prosthesis can ""feel"" objects and grasp them.",No,Existence,https://robotrends.ru/robopedia/klayber-bioniks-kleiber-bionics,,,,,,,,,,,,,,,
Motorica,https://global.motorica.org/ ,2015,for-profit,European,Russia,Russia,ratified,Moscow,Startup,Vostok Ventures (Russia) and Russian Direct Investment Fund.,Product,Mobility,Conventional prostheses rely on additional electronics to control the speed of strength and the user has less control over them.,Motorica�s bionic arm prosthetics use sensors connected to a patient�s muscle tissue to enable some movement.,The company works both with individuals and with public and private prosthetic enterprises.,"When gripping, the user determines the compression strength, speed and can feel the resistance when the wrist is placed on the object.",No,Existence,https://mildberry.com/cases/motorica/,,,,,,,,,,,,,,,
Sentai Ai,https://sentai.ai/,2019,for-profit,European,United Kingdom,United Kingdom,ratified,London,Startup,Innovate UK,Process,Cognitive,Offering the companionship for independent older people.,"Sentai is an engaging and friendly digital companion that can interact 24/7, simulating intelligent conversation - whilst learning and adapting - to help keep your loved one connected, independent and safe.",SentaiAI audio system links to a standard Alexa Echo device to provide better caring system.,"Takes care of the day-to-day with reminders and gentle nudges in the right direction.
?Removes stress by tackling issues and escalating emergencies
No technical apps or smart phones for the older person to worry about.
Promotes independent living.",No,Survival,,,,,,,,,,,,,,,,
Bioliberty's Glove,https://www.bioliberty.co.uk/#/home,2020,for-profit,European,United Kingdom,United Kingdom,ratified,Edinburgh,Startup,Scottish enterprise,Product,Mobility,Bioliberty is shaping a future where independence is no longer restricted by traumatic and degenerative conditions.,"Bioliberty used the anatomy of the human hand as a foundation and built our robotic systems around it. Bioliberty's glove tunes in to muscle activity and predicts the 3D position of the user's hand, and even weak muscles can be used to control the glove. ",There is no clear information on cocreation part.,"Bioliberty bridges the gap between orthosis and rehabilitation, customizes rehabilitation exercises to the user, guides the user's day-to-day rehabilitation tasks from home, and accurately tracks rehabilitation progress through the app",No,Existence,,,,,,,,,,,,,,,,
Jaccede,https://www.jaccede.com/fr/,2006,Charity,European,France,France,ratified,Paris,Organisation,Jaccede,Product; Service,mobility,"People with reduced mobility may be concerned about the location they are about to arrive at, as it is unclear whether it is equipped with accessibility facilities and whether the mode of transport is disabled-friendly.","The platform constantly draws on the real-time information shared by visitors to the site, based on their own on-site experience of the institution: the database provides the information itself and the pooling of information can provide a wealth of data. In this way, millions of citizens with disabilities or reduced mobility are reached.","The information on jaccede.com comes from each and every one of us: everyone can elaborate on the accessibility of places open to the public in accordance with the charter of use and the values of Jaccede.com.
","Free information on the accessibility of all places open to the public, so that users know where they can reach according to their mobility.",Open,Success,https://www.vodafone.com/news/inclusion/smartaccess_winners,,,,,,,,,,,,,,,
NeuroNode,https://rf-design.co.za/2018/07/12/wearable-assistive-technology/,2018,for-profit,European,Norway,Norway,ratified,Oslo,Startup,Nordic Semiconductor,Product,Cognitive,"People with amyotrophic lateral sclerosis (ALS) or other paralysing and aphasic diseases have difficulty communicating with family, friends, carers and clinicians.","A small medical grade wireless sensor is placed on the skin above the muscle selected as the 'switch'. When the user attempts to move the muscle, NeuroNode interprets the signals sent from the brain to the muscle and uses these EMG signals to control the user's paired device",Cocreate with Control Bionics.,"�NeuroNode�, enabling users suffering paralysis and loss of speech to control devices via electromyography.",No,Growth,,,,,,,,,,,,,,,,
Brain+ Recover,https://www.brain-plus.com/,2012,for-profit,European,Denmark,"Denmark, America, Germany",ratified,Copenhagon,Company,Seed Capital,Product,Cognitive,Brain+ Recover is trying to restore patients' independence and quality of life. ,Video game,"Deliever by smartphoned and tablets
Base on the ""Digital Therapeutics""","Assess the cognitive capacity through an entertaining way
Customize the training plan accoring to the assessment 
Improve user's memory and focus by gamified cognitive exercise",No,Existence,,,,,,,,,,,,,,,,
GiveVision,https://www.givevision.net/,2014,for-profit,European,United Kingdom,United Kingdom,ratified,London,Startup,Consumers' Association ,Product,Visual ,Research Institute for Disabled Consumers,Various requirements testing services,Cocreate with the team at HMD-Tech.,"panel members�answer surveys - online and over the phone, test products, conduct mystery shopping and attend workshops.�",No,Success,,,,,,,,,,,,,,,,
Sunflower Hidden Disability,https://hiddendisabilitiesstore.com/about-hidden-disabilities-sunflower,2016,project,European,United Kingdom,"United Kingdom, America, Canada, Finland, Australia, Norway...",ratified,London,Company,Hidden Disabilities Sunflower Scheme Limited,Process,Hidden disabilities,"Without a visual cue, it can be difficult for others to identify, acknowledge, or understand the daily barriers faced by people living with am invisible disability.","Service system; Touch points everywhere; Wearing the Sunflower discreetly indicates to people around the wearer including staff, colleagues and health professionals that they need additional support, help or a little more time.",Global Sunflower Partner Purple is a leading disability organisation that works with businesses of all sizes and across all industries to support their disability journey. ,"The Hidden Disabilities Sunflower enables people with non-visible disabilities to access the support they need. It acts a prompt for someone to choose to let people around them know they have a non-visible disability and that they may need a helping hand, understanding, or simply more time.",Open,Maturity,https://www.rbht.nhs.uk/patients-visitors/for-patients/access-and-support-for-disabled-patients-and-visitors/hidden-disabilities-sunflower-lanyard,,,,,,,,,,,,,,,
TuneFork ,https://www.tunefork.co.il/about,2016,for-profit,European,Israel,Israel,ratified,"Jerusalem,�Yerushalayim,�Israel",Startup,Horizon 2020 Programme by EU,product,hearing,Many people with hearing loss experience difficulties in using smart devices that rely on clear sound for efficient operation.,"TuneFork enables the user to perform a simple hearing test and grades the user's specific hearing problem. The test results, paired with sophisticated algorithms to adjust frequencies, create an optimal, custom-made audio experience for the user � a personalized Audio Profile.","Audio personalization technology software that delivers an optimal hearing experience, improving the quality of life for people with hearing loss and seniors.",It can be integrated into any operating system and can optimize all audio content,Downloadable,Existence,,,,,,,,,,,,,,,,
Seatrac,https://seatrac.gr/en/,2012,project,European,Greece,"Greece, Italy, Turkey",ratified,Achaia,Company,"University of Patras, Municipality of Greece",Process,mobility,"Underwater safety issue, especially for people with mobility problems",Remote controllor,cooperate with some beaches in Europe,o?er unassisted sea access to people with disabilities and mobility issues,Open free services,Success,,,,,,,,,,,,,,,,
Electronic parking manage system for the disabled,"https://innovationinpolitics.eu/showroom/project/electronic-parking-management-system-for-the-disabled/#:~:text=The%20Municipality%20of%20Chania%20installed,receives%20a%20special%20Bluetooth%20card.",2021,project,European,Greece,Greece,ratified,Chania,Company,Municipality of Chania,Process,mobility,have to coperate with the third party for consulting special technology,Sensor and bluetooth cards,base on the use of Narrow Band IoT ground sensors  that support wireless connectivity with Bluetooth cards,"allow disabled people to find an available parking space more easily
reduce the illegal occupation of these spaces by other drivers
announce the available parking places to people by related app",Open,Success,,,,,,,,,,,,,,,,
The Sequal Trust,https://www.thesequaltrust.org.uk/,1969,charity,European,United Kingdom,United Kingdom,ratified,Ellesmere,Organisation,"Princess Michael?Dorcas Mundey, MBE?Lee Ridley � Lost Voice Guy?Roger Jefcoate, CBE , DL?Professor Stephen Hawking?donation",service,mobility; learning diability; communication difficulties,"finding and funding the right electronic communication aid can be challenging and costly, so the dedicated team are here to help every step of the way.",liaise with people assigned Speech and Language Therapist,"reach their full potential through the provision of suitable communication equipment such as speech aids, light writers and grid pads.",Professional staff available for communication and assessment,Open,Survival,,,,,,,,,,,,,,,,
Living made Easy,https://livingmadeeasy.org.uk/,1982,charity,European,United Kingdom,United Kingdom,ratified,Oldbury,Organisation: DLF,Shaw Trust,Service,Mobility,People with disabilities lack systematic advice and access to purchase for the selection of equipment for everyday life.,Choose a topic and answer a few simple questions about your situation to receive a free personalised report providing you with useful information about the equipment available and what you might want to consider when looking for a equipment.,The webiste has more suppliers listing their products on Living made easy than any other site in the UK or Europe.,"It is used predominately by disabled adults and children, older people, their families and carers who are looking for equipment to make everyday tasks easier.",Open,Existence,,,,,,,,,,,,,,,,
AccessAble app,https://www.accessable.co.uk/,2000,for-profit,European,United Kingdom,United Kingdom,ratified,Hertfordshire,Startup,AccessAble,service,Mobility; Visual; Hearing; Cognitive,"Disabled people goes out to a place but finds that the transport situation, accessibility is not what was expected and feels nervous when visiting a new place.",A Detailed Access Guide lets uses know what access will be like when they visit somewhere. It looks at the route they will use getting in and what is available inside.,Collabotate with strategic partners and community partners.,To give disabled people the accessibility information they need to work out if a place is going to be accessible for them.,Free Download,Success,,,,,,,,,,,,,,,,
Helptalk,https://www.helptalk.mobi/en/contact,2011,Project,European,Portugal,Portugal,ratified,Guimar�es,Company,1000 Empresas,Product,Speech,"Application directed at people unable to communicate fluently orally or through writing with health professionals, family or any other person.","HelpTalk allows users to create sets of actions that represent their needs in terms of communication, with the actions most suited for each disability/user.",Users and experts from communication science.,"It helps people unable to communicate in a traditional fashion (people with aphasia, tracheostomized, ventilated with endotracheal tube, muteness, autism, illiterate, other language, children, etc.) to express their basic needs.",Free Download,Existence,https://ul.gpii.net/manufacturers/helptalk,,,,,,,,,,,,,,,
PDMonitor,https://www.pdneurotechnology.com/pd-monitor-solution/product/,2015,for-profit,European,United Kingdom,United Kingdom,ratified,London,Company,National Institute for Health and Care Excellence (NICE),service,mobility,Parkinson�s disease patients need clinical decision-making and personalized disease treatment.,"tracing, recording and processing a variety of symptoms, frequently presented in the disease, through the continuous use of a set of wearable monitoring devices.�",cooperate with R&D unit ,"offers continuous monitoring, full symptom coverage and a holistic view of the patient. The majority of patients feel their health and quality of life stabilised or improved after using PDMonitor.",No,success,,,,,,,,,,,,,,,,
XRAI Glass,https://xrai.glass,2022,academic,European,United Kingdom,United Kingdom,ratified,London,Company,"Royal National Institute of the Deaf
DeafKidz International
Nreal",product,hearing,XRAI Glass enrichs and empowers lives of people with hearing impairment ,"a glass can turn speech into subtitles, in real-time","Cocreate with OpenAI, NREAI, RNID, Lensologu, etc",people with hearing difficulties can �see� conversation and will not feel excluded in social setting,No,Existence,,,,,,,,,,,,,,,,
DA4YOU,https://da4you.eu/about-us/,2019,Project,European,Denmark,"Denmark, Sweden, UK",ratified,Copenhagen,Organisation,FUNKA?University of East Anglia (UEA)?Mediehuset K�benhavn,service?product,cognitive?visual?hearing,DA4YOU meets the need for digital accessibility training for young adults with varying abilities and disabilities across Europe,"create customised training on digital accessibility for young adults, covering three main areas: legislation, digital accessibility and digital media production.",The project is led by Mediehuset K�benhavn who is the Danish project partner and coordinator. FUNKA is the Swedish project partner and University of East Anglia (UEA) is the British project partner.,DA4YOU provides young adults aged 18 to 30 with varying sensory and cognitive abilities and disabilities with opportunities to create and access digital media content.,free download,Existence,,,,,,,,,,,,,,,,
OrCam MyEye,https://www.orcam.com/en/myeye2/?utm_source=google&utm_medium=cpc&utm_campaign=B2C_MyEye_Adwords_UK_Branded_Phrase_MatchMyEye_GA_UK_NEW_Branded_2021&utm_term=orcam&hsa_acc=5047145566&hsa_cam=11071807816&hsa_grp=136861489353&hsa_ad=592360156016&hsa_src=g&hsa_tgt=kwd-342461005379&hsa_kw=orcam&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gclid=Cj0KCQiA4OybBhCzARIsAIcfn9m3mmjI4sKdXcBfXdwoKCSw0aMwzDZBehDP9IQ_9rjRPJ2hWJExXZoaAvV6EALw_wcB,2015,for-profit,European,Israel,Israel,ratified,Jerusalem,Company,Clal Insurance Enterprises Holdings and Meitav Investment House,product,Visual,Vision loss people are hard to read and live an independent life,OrCam MyEye is a revolutionary voice activated device that attaches to virtually any glasses.,Cooperate with AI technology,"The device increases independence by allowing individuals to access visual information (text, faces, products, colors, money notes), conveyed by audio. It will not improve a person�s vision.",No,success,,,,,,,,,,,,,,,,
BrainControl BCI,https://www.braincontrol.eu/en/,2010,for-profit,European,Italy,Italy,ratified,Siena,Startup,European Union,product,speech,BrainControl BCI helps those who suffer from paralysis and communication limits with sufficiently intact cognitive abilities regain confidence in life and communicate with their loves smoothly.,"For those with serious mobility disabilities but sufficiently intact cognitive abilities, BrainControl BCI can transfer the specific answer they thought to the electronic device (tablets) through the EEG headphone and specific software. BrainControl also develops customized training to help users adapt to AT.","From 2012 to 2014, BrainControl cocreates with about 50 users, including the evaluation of long-term use.","Answering questions specific questions by thinking and machine interpretation, such as �How are you?�, �Are you feeling okay?� which means to re-establish contact with the outside world and their loved ones.","It is not open nor scalable, but people can access to up-to-date data sheets and info data, such as technical studies and external links.",Success,https://link.springer.com/chapter/10.1007/978-3-319-07437-5_46,,,,,,,,,,,,,,,
BrainControl Sensory,https://www.braincontrol.eu/en/,2010,for-profit,European,Italy,Italy,ratified,Siena,Startup,European Union,product,speech,"BrainControl Sensor maximize the residual capacity of our patients with residual voluntary movements of the body (eye movements, hand, finger, cheekbone, etc.).","BrainControl Sensor stimulates and optimizes the user's interaction with the outside world through a variety of sensors, such as eye trackers, motion sensors, mouse emulators.","From 2012 to 2014, BrainControl cocreates with about 50 users, including the evaluation of long-term use.",BrainControl Sensor optimizes the patient�s residual movements to stimulate the interaction with the outside world,"It is not open nor scalable, but people can access to up-to-date data sheets and info data, such as technical studies and external links.",Success,,,,,,,,,,,,,,,,
BrainControl Avator,https://www.braincontrol.eu/en/,2010,for-profit,European,Italy,Italy,ratified,Siena,Startup,European Union,product,mobility,BrainControl Avator enables users who suffer from paralysis and communication limits with sufficiently intact cognitive abilities to reconnect with the outside world immersively and vividly.,"The user is enabled to command a virtual robotic alter ego to adjust the audio, image, and height of the visual field to watch an exhibition, travel, and interact with surrounding people immersively.","From 2012 to 2014, BrainControl cocreates with about 50 users, including the evaluation of long-term use.",BrainControl Avator enables users who suffer from paralysis and communication limits with sufficiently intact cognitive abilities to reconnect with the outside world immersively and vividly.,"It is not open nor scalable, but people can access to up-to-date data sheets and info data, such as technical studies and external links.",Success,https://www.aicanet.it/documents/10776/2659822/Informatica_per_la_didattica_2019_pa_33.pdf/bd721213-778b-4ae5-b31f-da72fd0240cd,,,,,,,,,,,,,,,
iCub3,https://arxiv.org/pdf/2203.06972.pdf,2022,academic,European,Italy,Italy,ratified,Genoa,University,IIT,product,mobility,iCub3 enables people with mobility impairments to visit a remote location without movement.,"Using a standard fiber optic internet connection, the avatar system transports the operator locomotion, manipulation, voice, and face expressions to the iCub3 with visual, auditory, haptic, and touch feedback.",The iCub3 avatar system is mainly composed of the robot iCub3 and the wearable technologies � named iFeel.,Avatars may allow people with severe physical disabilities to work and accomplish tasks in the real world via the robotic body. This may be an evolution of rehabilitation and prosthetics technologies.,No,Existence,https://www.inceptivemind.com/iit-icub-3-avatar-system-enables-users-visit-venice-kilometers-away/23719/,,,,,,,,,,,,,,,
Thymia,https://thymia.ai/,2020,for-profit,European,United Kingdom,United Kingdom,ratified,London,Startup,"Kodori AG, Calm/Storm Ventures, etc.",product,Cognitive,"The current system for assessing mental health problems, particularly depression, is based on questionnaires, which are subjective and prone to bias. There is no standardised method for monitoring patients at home. More importantly, clinicians often complain of having to spend too much time on administrative tasks and not enough time with their patients.",We use video games based on Neuropsychology together with analyses of facial microexpressions & speech patterns.,Thymia has the highest level of cybersecurity certifications allowing them to work with NHS patients (NHS Toolkit; ISO27001),"Thymia empowers clinicians with more information, saves them time and costs, whilst improving workflow and patient outcomes.",No,Existence,,,,,,,,,,,,,,,,
Hable,https://www.iamhable.com/home,2019,for-profit,European,Netherlands,Netherlands,ratified,Eindhoven,Startup,the Netherlands Enterprise Agency,product,visual,Using the smartphone with a visual impairment can sometimes be frustrating and difficult. ,Hable One is designed to assist the smartphone or tablet with a simple and intuitive interface. Hable One can work as a wireless keyboard or as a remote to control every function in the smartphone.,use Android and iOS,Making smartphones accessible to the blind and enjoying the benefits of smartphones like everyone else.,Downloadable,Existence,,,,,,,,,,,,,,,,
Nightwatch,https://nightwatchepilepsy.com/,2018,for-profit,European,Netherlands,Netherlands,ratified,Eindhoven,Startup,"Holland Venture, Oost NL",product,mobility,Unscheduled seizures in people with epilepsy can reduce their ability to live independently and cause stress for caregivers.,"The device consists of a comfortable armband that closely monitors the wearer�s heart rate and motion during sleep. When the system suspects a possible major epileptic seizure, a warning is transmitted to a caregiver via a wireless signal to the armband�s corresponding base station.",NightWatch is supported by EpilepsieNL.,"NightWatch is optimized to detect potentially dangerous epileptic seizures, including tonic and tonic-clonic seizures.",No,Existence,,,,,,,,,,,,,,,,
Autismity - The Autism Simulator,https://theautismsimulator.com/,2016,charity,European,Slovakia,Slovakia,ratified,Bratislava,Organisation,SPOSA Bratislava,product,Cognitive,The limited understanding of others may inadvertently limit the development of people with autism and people may miss out on their ability to be different?,"The Autism Simulator invites uses into the sensory world of an autistic individual. Through a virtual reality headset, they�ll experience with full intensity how hypersensitivity, sensory overload, and synesthesia feel.",Autismity is a division of SPOSA - a non-governmental organization based in Slovakia.,"The simulator will create greater understanding, compassion and respect in the world by allowing users to experience the world of autistic people in depth.",No,Existence,,,,,,,,,,,,,,,,
